block_id	hash	time	size	weight	version	lock_time	is_coinbase	has_witness	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total
219	909d55b144aab663ccbcdbc1440c05e00bc94447b7fbc44a1c148e8ecdaeaf82	2009-01-12 13:46:30	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
220	d09e93200dd6d2a1343001b0b2755da288f31c291abd42b134d3b3ac24920513	2009-01-12 13:57:45	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
221	264e7238ddc574d5d6ded85d77bfcb69d99a0de17dfcdef0b7e97d430c4f202d	2009-01-12 14:21:00	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
221	298ca2045d174f8a158961806ffc4ef96fad02d71a6b84d9fa0491813a776160	2009-01-12 14:21:00	201	804	1	0	0	0	1	1	100000000	0.01	100000000	0.01	0	0	0	0	0	0	0.33939814814815
222	2589399db3e7beda1003703a99e366ea227b6b0d84480f0a0c00283abece0ded	2009-01-12 14:30:53	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
223	2038fd408bb42f6c8a0484c82e6ad2d11756cf7d6b47716ed663fa2addeeb1b4	2009-01-12 14:40:13	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
224	8a125498268d8ca573fd385cfcf4dbe7ec4f612c1858acf0c26c495419972bbb	2009-01-12 14:48:09	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
225	1b1ae506a3cf0cf2e190e8c88fd45646b8a5f95e69c7cb0cd0b6de4bef5f4dad	2009-01-12 15:11:16	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
226	9e493f9683043a91ab533f50919339eb8c35756e8c2b82372b53217a73d3826b	2009-01-12 15:23:14	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
227	b0dfeb4cfd4ece7d367bc6eec66af2a49c9c5aa4e12f90d728da63adbe18540f	2009-01-12 15:38:55	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
228	9941bbca58bc438e2eeafbda59e6ce63428cda348b8e961983e5bc9381a3ba85	2009-01-12 15:45:25	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
229	d82145d84af01f21077245f83081d0367e366c359d052a648eec97a51152e952	2009-01-12 15:52:57	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
230	aa94ee85a999c699a2972ab9c225ed108ded4253cba3dc05e246ad776ef261ee	2009-01-12 16:08:51	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
231	6229511483becd964893b5994aa7a2876d7435bc0c70cab7bfdb1c6eb3703d8c	2009-01-12 16:23:23	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
232	bdccc4d6bce7254baff1457931cc20976f91ac8721f8b8f44eeb4fc5c7146ca1	2009-01-12 16:34:40	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
233	b06bf2c935e4b9853feffd9be25ac744206667e9c99b233f58098deeef7975bd	2009-01-12 16:57:48	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
234	0f00a4718228d0e7338695a96dba43dcf371cbe37d315395c8d60e516f5e5235	2009-01-12 17:08:14	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
235	0cc917bf15f8807f224e7524c1eca22c3740ddefb7bf6694f7c2262b490cc706	2009-01-12 17:19:31	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
236	8cda9b1663ae15d9f8b3da2e3e5335e2ced509f9d36eb36206dc5845eef65d35	2009-01-12 17:25:59	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
237	516ddeb08d48ddce1682a0a81f8f1b73fcc4483978d2798d00bdd4a525204ef6	2009-01-12 17:26:25	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
238	4231776c56a97967417881a329f44232d5fdd952d01b597a265a331af859cce5	2009-01-12 17:40:35	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
239	ec520e569d7630f859ee8eb716ffdd4c910d6b64db1579c38620ff1a69b52198	2009-01-12 17:57:32	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
240	435264846bafdb75b931b2b1c01285432d957d70190e51a73c1565a7afbb1a5b	2009-01-12 18:04:54	134	536	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
241	4cb9f652eff11c0ca4d91950540f82f7aaf0d3dfa2b650234633640149915b3e	2009-01-12 18:16:41	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
242	15f09c3978221c2a92e6469b1b82762f21b70c216944a63c9a821d8f846bb48f	2009-01-12 18:42:53	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
243	1bf65bfe16dba06a386e229bb07c8d5e3f36cf8740aa306709a4d7923b2793d7	2009-01-12 19:01:38	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
244	67ce99e1604be37cd67d18779a3fa7cbe758fd20f56978f6fc94077c7955aaff	2009-01-12 19:12:04	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
245	f7126304f9e03c82c7c5ec4347c6c4e7ea9eb765a431307cb60d81c2c1b671b9	2009-01-12 19:26:37	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
